,comment,rate
59,şarj kapasitesiyle sürekli yanımızda gezdirebileceğimiz muhteşem bir şey,5
60,Kargo hızlıydı ürün de o kadar büyük değil normal telefon kadar işte 2 kez şarj etti telefonumu aman aman çokda büyük performans beklemeyin,4
61,bu fiyata bu kalite telefonumu neredeyse 3 defa sarj ediyor harika tesekkurler,5
62,Çok güzel şarj edıyo hızlı ve çabuk da bitmıyo fiyata göre baya iyi,5
63,"Kırmızısını birkaç aydır kullanıyorum, çok memnunum. Siyahını da kuzenime aldım. Tam bir f/p ürünü.",5
64,bu urunun beyazini ben kullaniyorum siyah olan rengini arkadasima hediye olarak aldim gayet memnunuz,5
65,Daha büyük depolama alanı olana ihtiyacım varmış. Ama ürün kullanışlı. Çabuk doluyor çabuk şarj ediyor.,5
66,harika en az 4 defa telefonunuzu şarj edebiliyor.vestel Z10 kullanıyorum.saticiya ve kargo firmasına zamanında elime ulaştığından ötürü teşekkür ederim.,5
67,Çok memnunum en az 3 kez sarj ediyor👍🏻,5
68,Ürün kaliteli 1 günde 3 defa şarj edebiliyor ben memnun kaldım,5
69,Şarj baya 4 kez şarj ediyor güzel,4
70,Hızlı kargo güzel ürün 3 4 kez şarj ediyorum inşallah uzun ömürlü olur .,5
71,Gayet iyi bi süre oldu alalı sıkıntısız kullanıyorum. Kapasitesi yerinde huawei p20 lite telefonum ve yaklaşık 2 buçuk şarj ediyor. Fiyat performans olarak da çok iyi.,5
72,3-4 kere full şarj ediyor. Aylardır kullanıyorum gayet memnunum performansında herhangi bir azalma olmadı. Hızlı teslimat,5
73,Büyük bir tereddütle sipariş vermiştim fakat gerçekten çok memnun kaldım. J7 kullanıyorum ve 5 kez şarj ediyor... garantili olması da ayrıca memnun etti,5
74,Fiyatı uygun ve şarj süresi fiyatına göre bence gayet iyi.,4
75,ürünü çok kısa sürede teslim ettiler evet kendisi biraz geç doluyo ama telefonu kısa sürede şarj ediyo ben memnun kaldım güzel ürün,5
76,Şarj ederken çok fazla ısınıyor  onun dışında şimdilik iyi gibi,4
77,Çok şık ve güzel şarj ediyor.,5
78,4 defa şarj etti sevdim şimdilik,3
79,Güzel 2  kere falan şarj ediyor Huawei telefonumu,5
80,Uzun süre şarj ediyor ama biraz ağır,5
81,ürün çok iyi sağlam 2 kez şarj ediyor,5
82,Uzun süre kalıcı şarjıyla her yerde rahat ediyorum kesinlikle tavsiye edilirrrr,5
83,ürün gerçekten kaliteli şarj olurken kullanmama rağmen 3 kereye yakın şarj ediyor. görüntüsüde çok şık,5
84,Bikaç kullanımdan sonra şarj etmiyor,4
85,fiyatına göre harika bir ürün 3 4 kez şarj ediyor,5
86,Fiyatına göre gayet güzel uzun süre şarjı dayanıyor,5
87,Fiyatına göre çok çok iyi şarj hızı gayet güzel alınabilir,4
88,"Boyutu gayet normal büyük değil bence, şarjı çok iyi gidiyor",5
89,Dört kez şarj ediyor ve ağır değil memnun kaldım,5
90,"xr kullanıyorum, 4 kere falan şarj ediyo, memnunum şimdilik, teşekkürler 👍🏼",5
91,Ucuz ve kaliteli bir ürün 3 defa sarj ediyor.,5
92,f/p urunu.Hafif bisey.Yeni ulasti bana.Iyi sarj ediyor gibi lakin 4 defa falan dolduracagini sanmiyorum 3 u zorlayabilir  o da belki 😁,3
93,Fiyatına göre performansı şahane 4 kez full şarj ediyor,5
94,Fiyat olarak iyi üç kez tam şarj ediyor .,5
95,Fiyat performans harika çok hızlı şarz ediyo telefonu,5
96,Fiyatına göre kaliteli ürün hızlı şarz dolduruyor,4
97,Fiyatına göre çok iyi 3 kez şarj ediyor 👍🏻,5
98,Ergonomik ürün indirimde kırk dokuz  iyi fiyat. Şarj durumunu daha denemedim.,5
99,Hızlı teslimat süper şarj ediyor alan pişman olmaz,5
100,Ürün çok iyi 3 4 kez tamamen sarj ediyor fiyatına değiyor 👍🏻,5
101,urunun kalitesi iyi benim telefonumu 2 kere tam sarj ediyo fiyatina gore oldukca uygun 👍🏼,4
102,4 kere ful şarj ediyor benim telefonumu bu fiyata 10000 mAh başka yerde bulamazsınız,5
103,Fiyatını cok uyguna almıştım ve defalarca şarj edebiliyorum güzel ürün,5
104,Ürün güzel kullandım biraz yavaş şarj ediyor fiyat makul digerlerine göre,3
105,Gayet güzel USB kablosu mevcut bu fiyata daha ne olsun her kuruşuna değer şimdilik sorunsuz çalışıyor,5
106,"uygun fiyatlı ve performansı iyi. akilli saatimi şarj etmek için aldım, sanırım 10 kez falan eder bi dolumla.",5
107,Beklediğimden çok daha iyi fiyat ürünüdür 2 3 defa  şarz ediyor beğendim,5
108,bu fiyata bu ürün çok iyi gayet iyi şarj ediyor,5
109,"Çok güzel bir ürün, performansıyla boyutuyla gayet ideal.",5
110,ehhh işte 1 kere doldurur,5
111,Ürün ortalama ağırlıkta. Dışı da gayet şık...,5
112,gayet güzel ben indirimdeyken aldım. kesinlikle alın ben bayıldım,5
113,Fiyatına göre son derece başarılı bir ürün. Smasung galaxy j7 telefonumu 2 kez tam 1 kez yarım sarj ediyor.,5
114,Çok memnunum saatlerce şarjı bitmiyor. Fiyatı uygun,5
115,Kapasite bakımından sıkıntılı bir ürün değil. Ancak şarj ederken bazen şarj işlemini kesiyor. Kabloyu takıp çıkardığınızda şarj işlemine devam ediyor. Sürekli kontrol etmeniz gerekiyor.,2
116,boyutu gayet iyi güzel de şarj ediyor paketleme iyi alınacak ürün,5
117,"Gayet beğendim,  3 kere hiç zorlanmadan şarj ediyor . Fiyatı da makul .",5
118,çok kaliteli uzun süreli şarj edilebilir,5
119,mukemmel bir ürün hızlu sekilde şarj ediyor,5
120,biraz agir. gorsel olarak iyi. 5 6 kere sarj etti,5
121,Fiyata göre cok iyi bir ürün sarjıda cabuk bitmiyor kullanıslı👍🏻,4
122,Kardeşime hediye olarak aldım ve çok memnun. En az üç kere şarj ettiğini söylüyor 😊,5
123,Hızlı kargodan dolayı teşekkürler ❤️ Fiyatına göre çok iyi bir ürün boyut olarak fazla büyük degil kolay taşınabilir indirimde aldım çok beğendim iyiki almışım 🤩,5
124,Bunu alırken yorumlara baktım fakat emin olamamıştım ama bu güzel 2-3 gündür kullanıyorum hiç düşünmeden alın,5
125,kaliteli bir ürün hizli sarj ediyor yanimdan ayırmıyorum ☺,5
126,Ürün elime sorunsuz ulaştı daha önce kırmızısını kullandım bunu hediye olarak aldım çok memnunum düşünmeden alın,5
127,fiyat performans ürünü sadece yavaş şarj ediyor,4
128,Kuzenimin tavsiyesiyle aldım 3 kez dolduruyor neredeyse çok iyi yalnız kendi şarjı bitince biraz geç doluyor haliyle 😂,5
129,Fiyat performans ürünü 2-3 defa şarj ediyor,4
130,canavar gibi makina 2 den fazla defa dolduruyor teli alali 6 ay oldu,5
131,cok başarılı cihaz biraz büyük slim tabirine uymuyor ama iş görür,5
132,eşime aldım cok begendi  teşekkür ederim gayet güzel ürün cok büyükdeyil kullanışlı tavsiye ederim,5
133,çok hafif ve gerçekten bu fiyata inanamıyorum kalitesi çok iyi.,5
134,Beklediğimden büyük geldi. O yüzden iade ettim,4
135,"Aylardır kullanıyorum, çok güzel bir ürün çok fazla kez şarj ediyor kesinlikle alın",5
136,Çok güzel bir ürün 4 kez belki 5 kez şarj ediyor,5
137,1 aydır kullanıyorum çok memnunum şarjımı kısa bir zaman içinde ful yapıyor,5
138,3 4 kere şarz ediyorum telefonu güzel ürün,5
139,Çok memnunum iPhone  8 telefonumu 4 kez şarj edebiliyorum,5
140,gayet güzel kaliteli ancak biraz yavaş şarj ediyor,3
141,Güzeel şarj ediyor,5
142,Telefonu güzel şarj ediyor ama kendi geç şarj oluyor 😐,3
143,çok beğendim telefonumu 3 kere tam bir şekilde şarj edebiliyorum herkese tavsiye ederim😊,5
144,şarjda fazla ısınıyor,5
145,Çok güzel bekledigimden daha iyi şarj ediyo,5
146,3 kere net şarj ediyor güzel ürün,5
147,"Yaklaşık 4 kez şarj edebiliyorum telefonumu, umarım uzun süreli kullanacağım bir ürün olur, şimdilik çok memnunum, teşekkürler.",5
148,Harika tek sferde 4 defa şarj ediyor,5
149,ürün güzel şarj ediyor tavsiye ederim.,5
150,Gayet başarılı. En az iki defa sarz ediyor,5
151,6s güzel 3-4 defa şarj ediyor,5
152,Gayet güzel geldi ve denedim çabuk şarj ediyor çok şüphe edip aldım gayet iyi,5
153,Ürün indirimdeyken aldım. Kaliteliye benziyor. Şarj ettim. Bakalım ne kadar dayanacak.,5
154,kaliteli uzun süre şarj edebiliyor,4
155,Çok kibar ve güzel görünüşlü. Ayrıca şarj gösterge Işık’ları da var. Çok ucuz ve güzel bir ürün,5
156,Şarj etme performansı iyi memnun kaldım,5
157,10dk için de yüzde 30 şarj etti,5
158,ürün beklediğim gibi 2 buçuk kere rahat şarj ediyor.,5
159,Çok iyi kaliteli baya telefon şarj ediyor,5
160,Çok iyi şarj veriyor,5
161,çok beğendim çabuk şarj ediyor,5
162,Malesef hiç beğenmedim çok geç şarj ediliyor,1
163,"Çok hızlı doldurmuyor arada kablo çıkıyor yerinden ama dolduruyır kablo yerindeyse,bilemedim",3
164,Benim için ürünün kapasitesinin yanısıra boyutu da önemli.  Zira işe götürebilmem için cebimde taşıyabilmem lazım. Hem telefonu şarj etmek için yeterli kapasitesinin olması hem de cepte taşınabiliyor olması sebebiyle benim için güzel bir ürün oldu.,5
165,Hafif ve boyut olarak iphone 6S boyutunda. Kullanıma yeni başladım performansını göreceğiz.,5
166,İphone 6 büyüklüğünde ve ağırlığında bir ürün .... ben mini istediğim için iade ettim .,3
167,"ürün hızlı geldi paketlemesi iyidi, tamamen dolduktan sonra telefonumu iki kez şarj etti memnunum",5
168,Şarj etme iyi yalnız iPhone için ekstra kablo yok iPhone kendi USB kablosunu takınca şarj etmeyi kesiyor,4
169,Gayet güzel şarj ediyor 1-2 gün kullanılıyor,5
170,Çok iyi ürün 2 3 kez şarj ediyor iyi ki almışım,5
171,"Tereddütlerim vardı ama cok memnun kaldım , tlf.im 6s , 5-6 kez sarj ediyor",4
172,Gerçekten kullanışlı hafif ve en az 3 kere şarjımı full yapıyor,5
173,Biraz ağır onun dışında bazen kabloyu çıkarıp tekrar takmam gerekiyor algılamada biraz problem var gibi,4
174,Cok kaliteli bir seye benzemiyor. 45 50 tl lik powerbankler gibi.Yeni geldigı için şarj verimini olcmedim.,3
175,Hızlı kargo tek seferde 3-4 kere telefonumu şarj ediyor gönül rahatlığıyla alabilirsiniz,5
176,gayet sağlam bir şekilde elime ulaştı kargolama güzel hızlı jarj ediyor tavsiye ederim,5
177,Kendisi biraz geç şarj oluyor ama Iphone 6’yı defalarca şarj ediyor çok beğendim. Boyu da ideal.,5
178,"Hızlı kargo. 3,4 kez telefonu şarj ediyor. Güvenilir firma.",5
179,Ürün fiyatına göre çok iyi iphone 7 trlefonumu 2 kez tam şarj ediyor,5
180,"Fiyatına göre uygun bir ürüne benziyor ful şarj olması 16-17 saati buldu, bana biraz ağır geldi performansını kullandıkça göreceğiz bakalım.",4
181,Yok arkadaşım gibi tavsiye ediyorum,5
182,Uzun süredir sıkıntısız kullanıyoruz.,5
183,urun on numara kaliteli,5
184,Ürün çok iyiydi gayet başarılı herkese öneririm 🙏🏻,5
185,beğendim şimdilik sıkıntı yok istediğim  gibi geldi teşekkür ederim,5
186,"Gayet başarılı , 10 numara , emeği geçen herkeze teşekkürler. Hayırlı işler dilerim👍🏻",5
187,Güzel ürün,5
188,Çok kaliteli ve 4 kez dolduruyor telefonumu,5
189,Güzel is görür,5
190,Harika bir ürün,5
191,Gayet güzel,5
192,almalısınız çok iyi,5
193,bekledigim gibi geldi,5
194,Çok güzel bir ürün,5
195,Gayet şık görünüyor,5
196,Tereddüt etmeden alabilirsiniz aşşşırı güzel,5
197,ürün gayet kullanışlı bir ürün,5
198,on numara cep e ele yakışır,5
199,işe yaramıyor,1
200,"Beyendik, tesekkurler",5
201,Ürünü beğendim,5
202,Kesinlikle alın kurtarıcı,5
203,Çok memnunum iyiki de almışım,5
204,Ürün şu an iyi teşekkürler trenyol,5
205,harika ürün düşünmeden gönül rahatlığıyla alabilirsiniz,5
206,Mükemmel çok memnunum aldığım ikinci ürün,5
207,gayet guzel,4
208,Ürün göründüğü gibi geliyor ve telefonumu güzel şarj etti fiyatına göre baya iyi tavsiye edilir 👍🏼,4
209,çok kullanışlı çok küçük ve ince değil ama rahatlıkla taşınabiliyor,5
210,Ürün Mükemmel. Azerbaycanda yaşıyorum çok güzel geldi azerbaycana. Güzel İşliyor. Şarj hızlı doluyor.,5
211,Bu fiyata alımabilcek en iyi powerbank diyebilirim . En az 3-4 kez şarj edebiliyoruz bu da bize yetiyor zaten .,5
212,çok güzelllllllll,5
213,"Yaklaşık 2,5 saatte tam dolum yaptı, ideal",5
214,Çok çok memnunum,5
215,👌👌👌👌👌👌👌👌👌👌,5
216,Çok kaliteli,4
217,Çok uygun kaliteli hızlı geldi,5
218,yorumlara bakarak aldım bencede iyi hızlı şarj ediyo.,5
219,Fiyat olarak uygun.Telefonumu 2 kez tam olarak şarj edebiliyorum.,4
220,İphone 6s kullanıcısıyım batarya büyüklüğü zaten az olduğu için 4-5 defa hatta daha fazla(tam detaylı test etmedim) şarj edebiliyorum. Yaklaşık 7 aydır kullanıyorum herhangi bir sıkıntısını görmedim. Tek eksiği kutudan aleti şarj etmeye yaayan kısa bi ara kablo çıkıyor olmasına rağmen şarj adaptörü koyulmamasıydı onun da eksikliğini çok hissetmedim,5
221,3 defa şarj ediyor çok memnunum çok büyük olmamasını da sevdim,5
222,hafif güzel kibar gayet iyi,4
223,"Çok uygun fiyata aldım şuan kullanıyorum. Ve gayet iyi şarj ediyor,",5
224,geç şarj ediyor,4
225,Görünümü çok şık 3 kez dolduruyor şarjımı severek kullanıyorum.,5
226,Fiyatına göre çok memnun kaldım iPhone 6 telefonum var 3-4 defa tam dolduruyor kesinlikle tavsiye ediyorum yaklaşık olarak 3 hafta oldu alalı herhangi bir sıkıntı yaşanmadı,5
227,Gayet güzel uyguna aldım 😊,5
228,mukemmel alin aldırın,5
229,Güzel Beğendim Tavsiye ederim teşekkürler.,4
230,İyi iyi memnunum,5
231,Çok güzel ürün,5
232,Kaliteli bir ürün beğendim görseli de güzel,5
233,super bir ürün bekledigimden daha güzel,5
234,orta seviye,3
235,İphone 6s telefonomu 4 defa rahat fullüyor 5. yi denemedim ama fuller gayet güzel ürün tavsiye ediyorum,5
236,Şüphesiz alın,5
237,Çok güzel alinmali,5
238,gayet guzel iş görüyor,5
239,Boyutu ve işlevi güzel.,5
240,Şarj olurken kapanıyor. Eşim paketi atmamış olsa iade edecektim :(,2
241,"Çok iyi, boyutu tam ideal. İphone 7’yi 4 kere civarı şarj edebilir. Dışarda hayat kurtarıyor.",5
242,gayet iyi j4 3.5 defa şarj ettim,5
243,3 kere kesin şarj ediyor ben beğendim öneririm,5
244,gayet iyi telefonumu 3 defa şarj ediyor,5
245,Büyüklüğü ideal ve kullanımı güzel,4
246,Ürün boyut olarak iphone 5’le aynı diyebilirim. Bataryanın büyüklüğünden ağırlığı var ama rahatsız edici değil telefon ağırlığı kadar. Tek takıldığım nokta sitede dexim markası yazması ürünün powerX diye bir kutuda gelmesi kafamı karıştırdı çünkü dexim amerika menşeili bi marka ürün üzerinde made in china yazıyor ürün 2 gündür elimde gayet iyi çalışıyor olduğunu söyleyebilirim,4
247,"hızlı kargo, boyutu mükemmel. Henüz denemedim ama eminim çok iyi de performansı olucak",5
248,güzel sıkıntısiz,5
249,güzel değil idare eder...,1
250,Uzun süre şarjı gidiyor ve hafif boyutu da gayet güzel,5
251,ürün güzel 1haftaoldu geleli 4kere full sarjz ediyor hemde fazla büyük değil almanızı tavsiye ederim,5
252,"Çok begendm cok kullanışlı aynı anda hem kulaklığımı sarja taktm hem de telefonumu, sadece 1 ışığı bitmiş oda hemen hemen %75 felan dır yani rahatlıkla alabilirsiniz hem ucuz hem kaliteli yeni 1 tane daha sipariş vereceğim en kısa zamanda kardeşlerim için",5
253,açarken düşürdüm kablosunun ucu kırıldı ama 😂 güzel,5
254,Gayet güzel şarj ediyor. Çok hızlı ulaştı elime. İndirimdeyken aldım.,5
255,urun mukemmel diger markalara oranla uygun biraz agir,5
256,3 tam sarj Mukemmel,5
257,Çok memnum kaldım indirimdeyken almıştım ve gayet memnumum,5
258,Büyüklük ağırlık olması gerektiği gibi.,5
259,Kullanışlı birçok defa şarj ediyor,5
260,çok memnun kaldım çok çabuk şarj ediyor teşekkür ederim,5
261,Çok kibar bir ürün. Telefonumu 2 defa şarj ediyorum.,5
262,memnunum baya gidiyor şarjı kaliteli,5
263,urun iyi fakat çok uzin süre sarjda ve dolması,4
264,Iphone 6 kadar bir boyutu var ağırlığı biraz daha fazla kaliteli bir ürün,3
265,Güzel hafif kargo hızlı daha ne olsun,5
266,Performans olarak harika bir ürün.Sadece biraz ağır .,4
267,çok ağır bir ürün cebinizde taşıyamazsınız pişmanım,1
268,"Kardeşime aldım, çok memnun",5
269,güzel ve küçük boyutlu,5
270,boyutu ideal bir boy büyük gelir diye korkmuştum ama gayet iyi,5
271,4-5 kere telefonu ful dolduruyor ve kaliteli tavsiye ederim,5
272,Tam kapasite olmasada is gorur fiyatina gore.,4
273,Çok iyi değil max 2 kere dolduruyor.,3
274,ürün güzel ve kullanışlı boyutu kaba değil çok nazik duruyor. alınabilir.😊,5
275,"Ürünü yaklaşık bir aydır kullanıyorum, 3-4 kere  rahat dolduruyor iphone 6s cihazı.",5
276,Ürünü sevdim biraz ağır ama yormuyor,5
277,indirimdeyken almıştım istediğim performansı veriyor 3 kere kullanabiliyorum tek şarjla,5
278,indirimdeyken aldım çok hızlı elime ulaştı teşekkürler 🙂,5
279,iyi ürün fakat biraz yavaş sarj ediyo,4
280,telefonu en fazla iki kere şarj ediyor.Hizli şarj hemde indirimdeyken almıştım tavsiye ediyorum,5
281,güzel hem hafif hem boyutu küçük,4
282,Güzel memnunum 2 3 sefer dolduruyor,5
283,4 kez şarj ediyor fiyat performansa bakılınca muazzam,5
284,"Bu fiyata gayet iyi, şarj etme durumu çok iyi",5
285,"cok kullanışlı, note 3 telefonu 2-3kez şarj hızlı bir sekilde şarh edebiliyor. fiyatı da uygun",4
286,Ürün güzel fiyatına göre iyi gibi. Note5 1.5 saatte şarj ediyor,5
287,fiyata göre çok kaliteli uzun şarj,5
288,f/p üstü bir ürün,5
289,uygun fiyatlı ve kaliteli baya uzun gidiyor sarjı,5
290,Gayet güzel bir ürün hafif kullanışlı .Tavsiye ederim.,4
291,"Çok güzel, boyutu da tam çantaya atıp çıkmalık. Her şeyiyle harika🥰",5
292,biraz ağır ama güzel ürün,4
293,Biraz büyük ama idare eder,3
294,Harika bir ürün biraz ağır,5
295,Cok begendim hafif,5
296,Çok kullanışlı çok ağır değil,5
297,gayet iyi sadece biraz ağır,3
298,Güzel kullanışlı biraz ağır,4
299,iphone 11 kullanıyorum çok ümitli değildim fakat totalde 3 kere şarj ediyor bayaa iyi,5
300,DAYANIKLI VE SAĞLAM SARJ YAPIYOR,5
301,Boyutları hoşuma gitmediği için iade etmek istedim ama iade almadılar çok ilgisiz bir firma kesinlikle almayın,1
302,Özenli paketleme ve hızlı gönderim sağlandı.Görseldeki ile birebir aynı gayet güzel Şarj etme hızı da iyi  tavsiye edilebilir bir ürün,5
303,İndirimdeyken almıştım gerçekten çok iyi bi ürün tavsiye ederim,5
304,çok memnunum iki girişli ve hızlı şekilde şarj ediyor dayanıklı,5
305,Fiyatı çok uygun.iphone 6 kullanıyorum 2 gün gidiyor şarjı.,5
306,çok guzel 2 kez dolduruyor,5
307,cok iyi ikinciyi aldik,5
308,Ürün çok güzel boyut ve ağırlık olarak çokrahat,5
309,Çok güzel hızlı dolum hafif ince,5
310,Ağır olması dışında güzel,4
311,"hızlı teslimat yapıldı. fakat çok yavaş şarj ediyor, tavsiye etmem 👎🏻",3
312,Gayet hizli geldi ayrica 3 den fazla sarj ediyor gayet memnunum,5
313,Biraz yavaş doluyor ama güzel ürün,4
314,24 saatte dolmuyor keşke almasaydım,1
315,"İşimizi görüyor, boyutları ideal çok büyük değil",5
316,kesinlikle her kuruşuna değer yaklaşık 3-4 saatte doluyor yazıldığı gibi de 10000lik tavsiye ederim,5
317,Çok memnun kaldım boyut olarak da ideal,5
318,ürünün kalitesi ve boyutu ideal. Tavsiye ederim.,5
319,aldım memnunum herkese tavsiye ederim 😊,5
320,Memnun kaldığımız bir ürün  👍🏻,5
321,gayet iyi bi sorun yaşmadım,5
322,Ürün  gerçekten  güzel  Teşekkürler,5
323,cok iyi alınır,4
324,işimi görüyor,4
325,Güzel beğendim,4
326,Güzel bir ürün 🤗,5
327,Markaya güvendiğim icin aldım cok da memnun kaldım,5
328,iyiki almışız dediğim bir ürün kesinlikle tavsiyemdir,5
329,çok memnun kaldım teşekkür ediyorum .,5
330,severek kullanıyorum,5
331,Urun fiyatina gore oldukca iyi ancak bana yavas sarj ediyor gibi geldi,4
332,Kendime almıştım ve çok beğendiğim için hediye 4 tane daha aldımmm,4
333,3-4 Kez şarj ediyor,5
334,Çok hafif ve baya dayanıyır👏🏻,5
335,performansı gayet güzel. boyutu küçük ve çok ağır değil.,5
336,Ürün gayet ideal boyutlarda,5
337,Fena değil.,3
338,Çok teşekkür ederim harika bir ürün,5
339,Ürün güzel ama oldukça ağır.,4
340,Ürün kaliteli ve slim olmasından dolayıda taşınması kolay.,5
341,Fena değil beklediğimden çok daha büyük çıktı ama :(,3
342,ürünü çok beğendim özenle kullanıyorum yanlz fotoğraftaki gibi küçük ebatli deil yinede hoş:)),3
343,harikaaaaaa,5
344,şık ürün hafif ve sağlam,4
345,Ağır fakar iş görür,4
346,Çok iyi telefonumu 3 defa şarj edebiliyor,5
347,elinize alin ca kalitesini anliyosunuz,5
348,iyidi . 3 kez telefonumu şarz etdi . paketlenme güzel . teşekkürler,5
349,gayet şık hafif kullanımı kolay tavsiye ediyorum.,5
350,cok zor şarjz oluyo,2
351,çok güzel. gerçekten 3-4 kez şarj ediyor. ama dedikleri gibi o kadar da hîzlî ulaşmadî elime.,4
352,Çantamdan ayırmıyorum.,4
353,çok yavaş dolduruyor ama iyi,4
354,"ürünün kapasitesi 7500 mah gibi.  yavaş dolduruyor dokusu, hafifliği güzel.",3
355,biraz ağır ama güzel,4
356,Gayet kibar bir duruşu var. kullanışlı. Ağır da değil. Kolay taşınabilir.,5
357,Anneme hediye alıp kendim kullandığım çok güzel bir powerbank  yaklaşık 4 defa dolduruyor hiç pahalı bir ürün almaya gerek yok.,5
358,👍🏼👍🏼👍🏼,5
359,"Ürün çok şık ve kullanışlı. Huawei p20 telefonu 2 kez şarj ediyor. 10.000 mAh a göre boyutu ideal. Bana göre tek eksiği 2 usb çıkışından sadece biri 2.1 mAh, diğeri 1.0 mAh (haliyle yavaş şarj ediyor) .kargo hızlı ve paketleme sorunsuzdu. Teşekkürler",5
360,Ürün çok kullanışlı ve kibar görünümlü. Büyük bataryalı telefonları bile 3 4 sefer sıfırdan şarj ediyor. Fiyatı da benzerlerine göre çok uygun.,5
361,Güzel bikaç kez şarj edebilir,4
362,gayet iyi en az 3-4 defa şarji ediyor,4
363,güzel baya şarj ediyor,4
364,Harika öğle söğlendiği gibi basit değil 3 defa şarz edebiliyorum hafit ben beğendim tesekkür ederim,5
